"set_num","name","year","num_parts","theme"
"7913-1","Clone Trooper Battle Pack",2011,85,"Star Wars"
"7914-1","Mandalorian Battle Pack",2011,68,"Star Wars"
"7915-1","Imperial V-wing Starfighter",2011,138,"Star Wars"
"792-1","Storage Box - White",1972,1,"Universal Building Set"
"7929-1","The Battle of Naboo",2011,241,"Star Wars"
"7930-1","Bounty Hunter Gunship",2011,389,"Star Wars"
"793-1","Storage Box - Blue",1972,1,"Universal Building Set"
"7931-1","T6 Jedi Shuttle",2011,391,"Star Wars"
"794-1","Storage Box - Yellow",1972,1,"Universal Building Set"
"7942-1","Off-Road Fire Rescue",2007,130,"City"
"7944-1","Fire Hovercraft",2007,273,"City"
"7945-1","Fire Station",2007,603,"City"
"795-1","Baseplates, Red and Blue",1971,2,"Universal Building Set"
"7956-1","Ewok Attack",2011,166,"Star Wars"
"7957-1","Sith Nightspeeder",2011,213,"Star Wars"
"7959-1","Geonosian Starfighter",2011,163,"Star Wars"
"796-1","Baseplates, Green and Yellow",1971,2,"Universal Building Set"
"7961-1","Darth Maul's Sith Infiltrator",2011,478,"Star Wars"
"7962-1","Anakin's and Sebulba's Podracers",2011,810,"Star Wars"
"7964-1","Republic Frigate",2011,1030,"Star Wars"
"7965-1","Millennium Falcon",2011,1253,"Star Wars"
"797-1","2 large baseplates, gray/white",1971,2,"Universal Building Set"
"798-1","Baseplates, Green",1972,2,"Universal Building Set"
"7990-1","Cement Mixer",2007,212,"City"
"799-1","Baseplate, Gray",1964,1,"Classic"
"7991-1","Garbage Truck",2007,205,"City"
"7992-1","Container Stacker",2007,217,"City"
"7994-1","LEGO City Harbor",2007,660,"City"
"7998-1","Heavy Hauler",2007,331,"City"
"8000-1","Pit Droid™ / Star Wars Pit Droid",2000,223,"Star Wars"
"800-1","Gear Set with Motor",1970,120,"Universal Building Set"
"8001-1","Battle Droid™ / Star Wars Battle Droid",2000,336,"Star Wars"
"800-2","Extra Bricks Red",1986,62,"Universal Building Set"
"8002-1","Destroyer Droid™ / Star Wars Destroyer Droid",2000,567,"Star Wars"
"8003-1","Volcano Climber",2000,35,"Technic"
"8004-1","Dirt Bike",2000,32,"Technic"
"8005-1","Ice Explorer",2000,34,"Technic"
"8006-1","Swamp Craft",2000,25,"Technic"
"8007-1","C-3PO™",2001,340,"Star Wars"
"8008-1","Stormtrooper™",2001,360,"Star Wars"
"8009-1","R2-D2™",2002,239,"Star Wars"
"8010-1","Darth Vader™",2002,390,"Star Wars"
"801-1","Gear Set",1970,112,"Universal Building Set"
"8011-1","Jango Fett™",2002,426,"Star Wars"
"801-2","Extra Bricks Blue",1986,62,"Universal Building Set"
"8012-1","Super Battle Droid™",2002,379,"Star Wars"
"8014-1","Clone Walker Battle Pack",2009,79,"Star Wars"
"8015-1","Assassin Droids Battle Pack",2009,94,"Star Wars"
"8016-1","Hyena Droid Bomber",2009,231,"Star Wars"
"8017-1","Darth Vader's TIE Fighter",2009,250,"Star Wars"
"8018-1","Armored Assault Tank (AAT)",2009,406,"Star Wars"
"8019-1","Republic Attack Shuttle",2009,636,"Star Wars"
"8020-1","Universal Building Set",1984,119,"Technic"
"802-1","Gear Supplementary Set",1970,30,"Universal Building Set"
"802-2","Extra Bricks White",1986,62,"Universal Building Set"
"8022-1","TECHNIC Starter Set",1993,118,"Technic"
"8024-1","Universal Building Set",1989,114,"Technic"
"8026-1","Kraatu",2004,20,"Bionicle"
"8029-1","Mini Snowspeeder",2008,66,"Star Wars"
"8030-1","Universal Building Set",1982,141,"Technic"
"803-1","Extra Bricks Yellow",1986,62,"Universal Building Set"
"803-2","Gear/Wheel Set",1972,163,"Universal Building Set"
"8032-1","Universal Set",1994,212,"Technic"
"8034-1","Universal Building Set",1989,187,"Technic"
"8035-1","Universal Building Set",1986,174,"Technic"
"8036-1","Separatist Shuttle",2009,258,"Star Wars"
"8037-1","Anakin's Y-wing Starfighter",2009,569,"Star Wars"
"8038-1","The Battle of Endor",2009,890,"Star Wars"
"8039-1","Venator-Class Republic Attack Cruiser",2009,1168,"Star Wars"
"8040-1","Universal Building Set",1984,162,"Technic"
"804-1","Extra Bricks Black",1986,62,"Universal Building Set"
"8042-1","Universal Pneumatic Set",1993,230,"Technic"
"8044-1","Universal Pneumatic Set",1989,198,"Technic"
"8050-1","Universal Building Set",1982,141,"Technic"
"805-1","Extra Bricks Gray",1986,62,"Universal Building Set"
"8054-1","Universal Building Set",1989,196,"Technic"
"8055-1","Universal Building Set with Motor",1986,186,"Technic"
"806-1","Extra Plates Blue",1986,42,"Universal Building Set"
"8062-1","Universal Set with Storage Case",1994,410,"Technic"
"8064-1","Motorized Universal Building Set",1990,219,"Technic"
"8070-1","Supercar",2011,1280,"Technic"
"807-1","Extra Plates Red",1986,42,"Universal Building Set"
"8071-1","Lift Truck",2011,592,"Technic"
"8074-1","Universal Building Set with Flex System",1992,313,"Technic"
"808-1","Wheels and Tires",1986,40,"Universal Building Set"
"8081-1","Extreme Cruiser",2011,589,"Technic"
"8082-1","Universal Building Set",1993,456,"Technic"
"8083-1","Rebel Trooper Battle Pack",2010,79,"Star Wars"
"8084-1","Snowtrooper Battle Pack",2010,74,"Star Wars"
"8085-1","Freeco Speeder",2010,176,"Star Wars"
"8086-1","Droid Tri-Fighter",2010,267,"Star Wars"
"8087-1","TIE Defender",2010,304,"Star Wars"
"8088-1","ARC-170 Starfighter",2010,395,"Star Wars"
"8089-1","Hoth Wampa Cave",2010,296,"Star Wars"
"8090-1","TECHNIC Universal Set",1982,277,"Technic"
"809-1","Doors and Windows",1986,38,"Universal Building Set"
"8091-1","Republic Swamp Speeder - Limited Edition",2010,175,"Star Wars"
"8092-1","Luke's Landspeeder",2010,163,"Star Wars"
"8093-1","Plo Koon’s Jedi Starfighter",2010,174,"Star Wars"
"8094-1","TECHNIC Control Center",1990,548,"Technic"
"8095-1","General Grievous’ Starfighter",2010,453,"Star Wars"
"8096-1","Emperor Palpatine’s Shuttle",2010,591,"Star Wars"
"8097-1","Slave I (Third Edition) [Initial Release]",2010,562,"Star Wars"
"8098-1","Clone Turbo Tank",2010,1142,"Star Wars"
"8099-1","Midi-Scale Imperial Star Destroyer",2010,423,"Star Wars"
"810-1","Basic Motor Set",1985,33,"Universal Building Set"
"810-2","Town Plan - Continental European",1961,760,"Classic"
"810-3","Gear Truck Set",1974,110,"Universal Building Set"
"810-4","Town Plan - UK, Cardboard box",1962,755,"Classic"
"8109-1","Flatbed Truck",2011,1114,"Technic"
"8110-1","Unimog U400",2011,2046,"Technic"
"811-1","Red Roof Bricks, Steep Pitch",1986,59,"Universal Building Set"
"811-2","Gear Crane Set",1974,181,"Universal Building Set"
"812-1","Gear Supplementary Set",1974,101,"Universal Building Set"
"812-2","Red Roof Bricks, Shallow Pitch",1986,60,"Universal Building Set"
"8128-1","Cad Bane's Speeder",2010,317,"Star Wars"
"8129-1","AT-AT Walker",2010,811,"Star Wars"
"813-1","Baseplate, Green",1986,1,"Universal Building Set"
"813-2","Gear Bulldozer Set",1974,130,"Universal Building Set"
"814-1","Baseplates, Green, Red and Yellow",1986,3,"Universal Building Set"
"814-2","Gear Farm Set",1975,89,"Universal Building Set"
"815-1","Baseplate, Gray",1986,1,"Universal Building Set"
"816-1","Lighting Bricks, 4.5V",1987,17,"Universal Building Set"
"818-1","Pullback Motor, Red",1990,8,"Universal Building Set"
"819-1","Blue Sea Plate",1991,1,"Universal Building Set"
"8-2","Universal Building Set",1979,93,"Universal Building Set"
"820-1","Red Plates Parts Pack",1980,34,"Universal Building Set"
"820-2","LegoWooden Storage Box Large (Double Latch) with Contents, with Lattice",1966,0,"Classic"
"8202-1","Blast Off Chopper with Bungee Cord Power!",1998,70,"Technic"
"821-1","Brick Separator, Gray",1990,1,"Universal Building Set"
"822-1","Blue Plates Parts Pack",1980,34,"Universal Building Set"
"8230-1","Coastal Cop Buggy / Miami Police Patrol",1996,175,"Technic"
"8233-1","MC vs. Stinger",1998,118,"Technic"
"8236-1","Bike Burner",2000,59,"Technic"
"8237-1","Slammer Racer / Formula Force",2000,112,"Technic"
"8238-1","Slammer Dragsters / Dueling Dragsters",2000,201,"Technic"
"8239-1","Cyber Challenge",1998,121,"Technic"
"8240-1","Slammer Stunt Bike",2001,152,"Technic"
"8241-1","Battle Cars",2001,110,"Technic"
"8242-1","Slammer Turbo",2001,251,"Technic"
"8244-1","Convertables",1996,275,"Technic"
"8245-1","Robot's Revenge",1998,222,"Technic"
"8252-1","Beach Buster / Police Car",1999,168,"Technic"
"8253-1","Fire Helicopter",1999,210,"Technic"
"8257-1","Cyber Strikers",1998,367,"Technic"
"8266-1","Spyder Slayer",1998,367,"Technic"
"8268-1","Scorpion Attack",1999,78,"Technic"
"8269-1","Competition Ultra Challenge [aka Cyber Stinger]",1999,327,"Technic"
"8287-1","Motor Box",2006,93,"Technic"
"8-3","Basic Set",1973,665,"Universal Building Set"
"8300-1","LEGO TECHNIC Team",2000,6,"Technic"
"830-1","Red Bricks Parts Pack",1980,46,"Universal Building Set"
"8305-1","Duel Bikes",2000,208,"Technic"
"8307-1","Turbo Racer",2000,392,"Technic"
"831-1","Black Bricks Parts Pack",1980,46,"Universal Building Set"
"832-1","Blue Bricks Parts Pack",1980,46,"Universal Building Set"
"833-1","White Bricks Parts Pack",1980,46,"Universal Building Set"
"834-1","Yellow Bricks Parts Pack",1980,46,"Universal Building Set"
"836-1","Doors and Windows Parts Pack",1980,37,"Universal Building Set"
"837-1","Wheels and Tires Parts Pack",1980,28,"Universal Building Set"
"838-1","Red Roof Bricks Parts Pack, 45 Degree",1980,58,"Universal Building Set"
"839-1","Red Roof Bricks Parts Pack, 33 Degree",1980,42,"Universal Building Set"
"8399-1","K-9 Bot",2009,22,"Space"
"8400-1","Space Speeder",2009,14,"Space"
"840-1","Baseplate, Green",1980,1,"Universal Building Set"
"8401-1","City Minifigure Collection",2009,59,"City"
"8402-1","Sports Car",2009,68,"City"
"8404-1","City Public Transport",2010,863,"City"
"841-1","Baseplates, Green and Yellow",1980,2,"Universal Building Set"
"842-1","Baseplates, Red and Blue",1980,2,"Universal Building Set"
"843-1","Baseplate, Gray",1980,1,"Universal Building Set"
"8450-1","Mission Experience Pack",2000,642,"Technic"
"845-1","Battery Motor, 9V",1992,27,"Universal Building Set"
"846-1","Lighting Bricks",1992,45,"Universal Building Set"
"8482-1","CyberMaster",1998,896,"Technic"
"8483-1","CyberMaster",1998,897,"Technic"
"8485-1","Control Center / Control II",1995,1066,"Technic"
"8500-1","Torch / Fire Slizer",1999,33,"Technic"
"850-1","Fork lift truck",1977,216,"Technic"
"8501-1","Ski / Ice Slizer",1999,34,"Technic"
"8502-1","Turbo / City Slizer",1999,45,"Technic"
"8503-1","Scuba / Sub",1999,39,"Technic"
"8504-1","Jet / Judge Slizer",1999,44,"Technic"
"8505-1","Amazon / Jungle Slizer",1999,36,"Technic"
"8506-1","Granite / Rock Slizer",1999,34,"Technic"
"850617-1","City Police Accessory Set",2013,34,"City"
"850618-1","City Fire Accessory Set",2013,43,"City"
"8507-1","Electro / Energy Slizer",1999,37,"Technic"
"8508-1","Supplementary Disks",1999,5,"Technic"
"850888-1","Castle Knights Accessory Set",2014,36,"Classic"
"8509-1","Swamp",2000,45,"Technic"
"850932-1","Polar Accessory Set",2014,41,"City"
"8510-1","Lava",2000,35,"Technic"
"851-1","Tractor",1977,324,"Technic"
"8511-1","Frost",2000,44,"Technic"
"8512-1","Onyx",2000,38,"Technic"
"8513-1","Dust",2000,45,"Technic"
"8514-1","Power",2000,32,"Technic"
"8515-1","RoboRider Wheels",2000,4,"Technic"
"8516-1","The Boss",2000,124,"Technic"
"8520-1","Millennium/Millennia",2000,134,"Technic"
"852-1","Reconnaisance Helicopter",1977,364,"Technic"
"8521-1","Flare",2000,44,"Technic"
"8522-1","Spark",2000,35,"Technic"
"8523-1","Blaster / Blaster Slizer",2000,89,"Technic"
"8530-1","Masks",2001,3,"Bionicle"
"853-1","Auto Chassis",1977,608,"Technic"
"8531-1","Pohatu",2001,49,"Bionicle"
"8531-2","Pohatu - With mini CD-ROM",2001,50,"Bionicle"
"8532-1","Onua",2001,30,"Bionicle"
"8532-2","Onua - With mini CD-ROM",2001,33,"Bionicle"
"853301-1","Alien Conquest Battle Pack",2011,27,"Space"
"8533-1","Gali",2001,35,"Bionicle"
"8533-2","Gali - With mini CD-ROM",2001,36,"Bionicle"
"853378-1","City Firemen Minifigure Pack",2012,22,"City"
"8534-1","Tahu",2001,33,"Bionicle"
"8534-2","Tahu - With mini CD-ROM",2001,34,"Bionicle"
"8535-1","Lewa",2001,36,"Bionicle"
"8535-2","Lewa - With mini CD-ROM",2001,37,"Bionicle"
"8536-1","Kopaka",2001,33,"Bionicle"
"8536-2","Kopaka - With mini CD-ROM",2001,34,"Bionicle"
"8537-1","Nui-Rama",2001,148,"Bionicle"
"8538-1","Muaka and Kane-ra",2001,633,"Bionicle"
"8539-1","Manas",2001,456,"Bionicle"
"8540-1","Vakama",2001,26,"Bionicle"
"854-1","Go-Kart",1978,211,"Technic"
"8541-1","Matau",2001,25,"Bionicle"
"8542-1","Onewa",2001,29,"Bionicle"
"8543-1","Nokama",2001,27,"Bionicle"
"8544-1","Nuju",2001,29,"Bionicle"
"8545-1","Whenua",2001,28,"Bionicle"
"8546-1","Power Pack",2001,10,"Bionicle"
"8548-1","Nui-Jaga",2001,226,"Bionicle"
"8549-1","Tarakava",2001,403,"Bionicle"
"8550-1","Gahlok Va",2002,26,"Bionicle"
"855-1","Mobile crane",1978,512,"Technic"
"8551-1","Kohrak Va",2002,28,"Bionicle"
"8552-1","Lehvak Va",2002,28,"Bionicle"
"8553-1","Pahrak Va",2002,27,"Bionicle"
"8554-1","Tahnok Va",2002,27,"Bionicle"
"8555-1","Nuhvok Va",2002,26,"Bionicle"
"8556-1","Boxor",2002,157,"Bionicle"
"8557-1","Exo-Toa",2002,378,"Bionicle"
"8558-1","Cahdok and Gahdok",2002,636,"Bionicle"
"8559-1","Krana",2002,0,"Bionicle"
"8560-1","Pahrak",2002,41,"Bionicle"
"856-1","Bulldozer",1979,372,"Technic"
"8561-1","Nuhvok",2002,41,"Bionicle"
"8562-1","Gahlok",2002,41,"Bionicle"
"8563-1","Tahnok",2002,41,"Bionicle"
"8564-1","Lehvak",2002,41,"Bionicle"
"8565-1","Kohrak",2002,41,"Bionicle"
"8566-1","Onua Nuva",2002,41,"Bionicle"
"8567-1","Lewa Nuva",2002,37,"Bionicle"
"8568-1","Pohatu Nuva",2002,43,"Bionicle"
"8569-1","Krana",2002,0,"Bionicle"
"8570-1","Gali Nuva",2002,44,"Bionicle"
"857-1","Motorcycle with sidecar",1979,409,"Technic"
"8571-1","Kopaka Nuva",2002,42,"Bionicle"
"8572-1","Tahu Nuva",2002,36,"Bionicle"
"8573-1","Nuhvok-Kal",2003,42,"Bionicle"
"8574-1","Tahnok-Kal",2003,42,"Bionicle"
"8575-1","Kohrak-Kal",2003,42,"Bionicle"
"8576-1","Lehvak-Kal",2003,42,"Bionicle"
"8577-1","Pahrak-Kal",2003,42,"Bionicle"
"8578-1","Gahlok-Kal",2003,42,"Bionicle"
"8580-1","Kraata",2003,3,"Bionicle"
"858-1","Auto Engines",1980,242,"Technic"
"8581-1","Kopeke",2003,25,"Bionicle"
"8582-1","Matoro",2003,25,"Bionicle"
"8583-1","Hahli",2003,25,"Bionicle"
"8584-1","Hewkii",2003,25,"Bionicle"
"8584-2","Hewkii (Kabaya Promotional)",2003,25,"Bionicle"
"8585-1","Hafu",2003,25,"Bionicle"
"8585-2","Hafu (Kabaya Promotional)",2003,25,"Bionicle"
"8586-1","Macku",2003,25,"Bionicle"
"8586-2","Macku (Kabaya Promotional)",2003,25,"Bionicle"
"8587-1","Panrahk",2003,45,"Bionicle"
"8587-2","Panrahk - With Shadow Kraata (Promotional Set)",2003,45,"Bionicle"
"8587-3","Panrahk - With mini CD-ROM",2003,46,"Bionicle"
"8588-1","Kurahk",2003,45,"Bionicle"
"8588-2","Kurahk - With Shadow Kraata (Promotional Set)",2003,45,"Bionicle"
"8588-3","Kurahk - With mini CD-ROM",2003,45,"Bionicle"
"8589-1","Lerahk",2003,45,"Bionicle"
"8589-2","Lerahk - With Shadow Kraata (Promotional Set)",2003,45,"Bionicle"
"8589-3","Lerahk - With mini CD-ROM",2003,46,"Bionicle"
"8590-1","Guurahk",2003,45,"Bionicle"
"8590-2","Guurahk - With Shadow Kraata (Promotional Set)",2003,45,"Bionicle"
"8590-3","Guurahk - With mini CD-ROM",2003,46,"Bionicle"
"8591-1","Vorahk",2003,45,"Bionicle"
"8591-2","Vorahk - With Shadow Kraata",2003,45,"Bionicle"
"8591-3","Vorahk - With mini CD-ROM",2003,45,"Bionicle"
"8592-1","Turahk",2003,45,"Bionicle"
"8592-2","Turahk - With Shadow Kraata",2003,45,"Bionicle"
"8592-3","Turahk - With mini CD-ROM",2003,46,"Bionicle"
"8593-1","Makuta",2003,199,"Bionicle"
"8594-1","Jaller and Gukko",2003,172,"Bionicle"
"8595-1","Takua and Pewku",2003,221,"Bionicle"
"8596-1","Takanuva",2003,200,"Bionicle"
"8597-1","Krana Nuva",2002,0,"Bionicle"
"8601-1","Toa Vakama",2003,48,"Bionicle"
"8601-2","Toa Vakama - 2004 San Diego Comic-Con Exclusive (Does Not Contain Exclusive Disk)",2004,48,"Bionicle"
"8602-1","Toa Nokama",2004,46,"Bionicle"
"8603-1","Toa Whenua",2004,49,"Bionicle"
"8604-1","Toa Onewa",2004,44,"Bionicle"
"8605-1","Toa Matau",2004,46,"Bionicle"
"8606-1","Toa Nuju",2004,48,"Bionicle"
"8607-1","Nuhrii",2004,27,"Bionicle"
"8608-1","Vhisola",2004,27,"Bionicle"
"8609-1","Tehutti",2004,27,"Bionicle"
"8610-1","Ahkmou",2004,27,"Bionicle"
"8611-1","Orkahm",2004,27,"Bionicle"
"8612-1","Ehrye",2004,30,"Bionicle"
"8613-1","Kanoka Disk Launcher Pack",2004,4,"Bionicle"
"8614-1","Vahki Nuurakh",2004,32,"Bionicle"
"8614-2","Vahki Nuurakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8615-1","Vahki Bordakh",2004,32,"Bionicle"
"8615-2","Vahki Bordakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8616-1","Vahki Vorzakh",2004,32,"Bionicle"
"8616-2","Vahki Vorzakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8617-1","Vahki Zadakh",2004,32,"Bionicle"
"8617-2","Vahki Zadakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8618-1","Vahki Rorzakh",2004,32,"Bionicle"
"8618-2","Vahki Rorzakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8619-1","Vahki Keerakh",2004,32,"Bionicle"
"8619-2","Vahki Keerakh Limited Edition with Movie Edition Vahi and Disk Of Time",2004,33,"Bionicle"
"8620-1","Snow Scooter",1986,101,"Technic"
"8621-1","Turaga Dume and Nivawk",2004,180,"Bionicle"
"8622-1","Nidhiki",2004,170,"Bionicle"
"8623-1","Krekka",2004,214,"Bionicle"
"8624-1","Race for the Mask of Life",2006,507,"Bionicle"
"8625-1","Umbra",2006,179,"Bionicle"
"8626-1","Irnakk",2006,11,"Bionicle"
"8640-1","Polar Copter",1986,238,"Technic"
"8660-1","Arctic Rescue Unit",1986,387,"Technic"
"8680-1","Arctic Rescue Base",1986,523,"Technic"
"8685-1","Toa Kopaka",2008,53,"Bionicle"
"8686-1","Toa Lewa",2008,51,"Bionicle"
"8687-1","Toa Pohatu",2008,67,"Bionicle"
"8688-1","Toa Gali",2008,60,"Bionicle"
"8689-1","Toa Tahu",2008,73,"Bionicle"
"8690-1","Toa Onua",2008,62,"Bionicle"
"8691-1","Antroz",2008,52,"Bionicle"
"8692-1","Vamprah",2008,48,"Bionicle"
"8693-1","Chirox",2008,48,"Bionicle"
"8694-1","Krika",2008,40,"Bionicle"
"8695-1","Gorast",2008,51,"Bionicle"
"8696-1","Bitil",2008,54,"Bionicle"
"8697-1","Toa Ignika",2008,140,"Bionicle"
"8698-1","Vultraz",2008,133,"Bionicle"
"8699-1","Takanuva",2008,267,"Bionicle"
"8700-1","Expert Builder Power Pack",1982,27,"Technic"
"870-1","Supplementary Set",1977,22,"Technic"
"8710-1","Supplementary Set",1980,124,"Technic"
"871-1","Supplementary Set",1977,78,"Technic"
"8712-1","Action Figures",1988,14,"Technic"
"8714-1","The LEGO TECHNIC Team / Team",1993,9,"Technic"
"8715-1","Ultimate Creatures Accessory Set",2005,401,"Bionicle"
"8719-1","Zamor Spheres",2006,10,"Bionicle"
"8720-1","Power Pack",1991,57,"Technic"
"872-1","Supplementary Set",1978,77,"Technic"
"8721-1","Velika",2006,21,"Bionicle"
"8722-1","Kazi",2006,25,"Bionicle"
"8723-1","Piruk",2006,27,"Bionicle"
"8724-1","Garan",2006,21,"Bionicle"
"8725-1","Balta",2006,22,"Bionicle"
"8726-1","Dalu",2006,25,"Bionicle"
"8727-1","Inika Toa Jaller",2006,46,"Bionicle"
"8728-1","Inika Toa Hahli",2006,46,"Bionicle"
"8729-1","Inika Toa Nuparu",2006,55,"Bionicle"
"8730-1","Inika Toa Hewkii",2006,62,"Bionicle"
"8731-1","Inika Toa Kongu",2006,46,"Bionicle"
"8732-1","Inika Toa Matoro",2006,47,"Bionicle"
"8733-1","Axonn",2006,196,"Bionicle"
"8734-1","Brutaka",2006,191,"Bionicle"
"8735-1","Power Pack Motor Set",1998,60,"Technic"
"8736-1","Toa Hordika Vakama",2005,48,"Bionicle"
"8737-1","Toa Hordika Nokama",2005,48,"Bionicle"
"8738-1","Toa Hordika Whenua",2005,48,"Bionicle"
"8739-1","Toa Hordika Onewa",2005,48,"Bionicle"
"8740-1","Toa Hordika Matau",2005,48,"Bionicle"
"874-1","Supplementary Set",1979,38,"Technic"
"8741-1","Toa Hordika Nuju",2005,48,"Bionicle"
"8742-1","Visorak Vohtarak",2005,48,"Bionicle"
"8743-1","Visorak Boggarak",2005,48,"Bionicle"
"8744-1","Visorak Oohnorak",2005,48,"Bionicle"
"8745-1","Visorak Roporak",2005,48,"Bionicle"
"8746-1","Visorak Keelerak",2005,48,"Bionicle"
"8747-1","Visorak Suukorak",2005,48,"Bionicle"
"8748-1","Rhotuka Spinners",2005,5,"Bionicle"
"875-1","Supplementary Set",1979,38,"Technic"
"8755-1","Keetongu",2005,203,"Bionicle"
"8756-1","Sidorak",2005,211,"Bionicle"
"8757-1","Visorak Battle Ram",2005,190,"Bionicle"
"8758-1","Tower of Toa",2005,407,"Bionicle"
"8759-1","Battle of Metru Nui",2005,871,"Bionicle"
"876-1","Supplementary Set",1979,38,"Technic"
"8761-1","Roodaka",2005,233,"Bionicle"
"8762-1","Toa Iruini",2005,53,"Bionicle"
"8763-1","Toa Norik",2005,55,"Bionicle"
"8764-1","Vezon & Fenrakk",2006,281,"Bionicle"
"8769-1","Visorak's Gate",2005,330,"Bionicle"
"877-1","Supplementary Set",1979,30,"Technic"
"878-1","Supplementary Set",1979,52,"Technic"
"879-1","Supplementary Set",1979,87,"Technic"
"880001-1","Competition Racers with Stopwatch",1998,2,"Technic"
"880010-1","Exclusive Roboriders Pack",2001,2,"Technic"
"880011-1","Exclusive Roboriders Pack",2001,2,"Technic"
"880012-1","Exclusive Roboriders Pack",2001,2,"Technic"
"880-1","Supplementary Set",1979,22,"Technic"
"8811-1","Toa Lhikan & Kikanalo",2004,217,"Bionicle"
"8844-1","Helicopter",1981,316,"Technic"
"8845-1","Dune Buggy",1981,174,"Technic"
"8846-1","Tow Truck",1982,379,"Technic"
"8847-1","Dragster",1983,250,"Technic"
"8848-1","Power Truck",1981,398,"Technic"
"885-1","Space Scooter",1979,20,"Space"
"8857-2","LEGO Motorcycle",1980,409,"Technic"
"8858-2","Auto Engines",1980,244,"Technic"
"8859-1","Tractor",1981,614,"Technic"
"8860-1","Car Chassis",1980,676,"Technic"
"886-1","Space Buggy",1979,20,"Space"
"889-1","Radar Truck",1979,29,"Space"
"8892-1","Piraka Outpost",2006,211,"Bionicle"
"8893-1","Lava Chamber Gate",2006,375,"Bionicle"
"8894-1","Piraka Stronghold",2006,649,"Bionicle"
"8900-1","Reidak",2006,41,"Bionicle"
"890-1","Windup Motor",1981,10,"Universal Building Set"
"8901-1","Hakann",2006,42,"Bionicle"
"890-2","Lockable Storage Box, Empty",1967,1,"Classic"
"8902-1","Vezok",2006,41,"Bionicle"
"8903-1","Zaktan",2006,42,"Bionicle"
"8904-1","Avak",2006,41,"Bionicle"
"8905-1","Thok",2006,42,"Bionicle"
"8910-1","Toa Mahri Kongu",2007,63,"Bionicle"
"891-1","Two-Man Scooter",1979,39,"Space"
"8911-1","Toa Mahri Jaller",2007,67,"Bionicle"
"8912-1","Toa Mahri Hewkii",2007,61,"Bionicle"
"8913-1","Toa Mahri Nuparu",2007,58,"Bionicle"
"8914-1","Toa Mahri Hahli",2007,58,"Bionicle"
"8915-1","Toa Mahri Matoro",2007,62,"Bionicle"
"8916-1","Takadox",2007,62,"Bionicle"
"8917-1","Kalmah",2007,53,"Bionicle"
"8918-1","Carapar",2007,50,"Bionicle"
"8919-1","Mantax",2007,58,"Bionicle"
"8920-1","Ehlek",2007,54,"Bionicle"
"8921-1","Pridak",2007,47,"Bionicle"
"8922-1","Gadunka",2007,176,"Bionicle"
"8923-1","Hydraxon",2007,165,"Bionicle"
"8924-1","Maxilos and Spinax",2007,256,"Bionicle"
"8925-1","Barraki Deepsea Patrol",2007,200,"Bionicle"
"8926-1","Toa Undersea Attack",2007,357,"Bionicle"
"8927-1","Toa Terrain Crawler",2007,603,"Bionicle"
"8929-1","Defilak",2007,37,"Bionicle"
"8930-1","Dekar",2007,37,"Bionicle"
"8931-1","Thulox",2007,39,"Bionicle"
"8932-1","Morak",2007,40,"Bionicle"
"8934-1","Squid Ammo",2007,7,"Bionicle"
"8935-1","Nocturn",2007,114,"Bionicle"
"8939-1","Lesovikk",2007,149,"Bionicle"
"8940-1","Karzahni",2007,373,"Bionicle"
"894-1","Mobile Ground Tracking Station",1979,79,"Space"
"8941-1","Rockoh T3",2008,388,"Bionicle"
"8942-1","Jetrax T6",2008,420,"Bionicle"
"8942-2","Jetrax T6 Limited Edition",2008,420,"Bionicle"
"8943-1","Axalara T9",2008,694,"Bionicle"
"8944-1","Tanma",2008,14,"Bionicle"
"8945-1","Solek",2008,14,"Bionicle"
"8946-1","Photok",2008,14,"Bionicle"
"8947-1","Radiak",2008,16,"Bionicle"
"8948-1","Gavla",2008,14,"Bionicle"
"8949-1","Kirop",2008,14,"Bionicle"
"895-1","Windup Motor",1986,10,"Universal Building Set"
"8952-1","Mutran & Vican",2008,90,"Bionicle"
"8953-1","Makuta Icarax",2008,159,"Bionicle"
"8954-1","Mazeka",2008,301,"Bionicle"
"897-1","Mobile Rocket Launcher",1979,77,"Space"
"8972-1","Atakus",2009,13,"Bionicle"
"8973-1","Raanu",2009,14,"Bionicle"
"8974-1","Tarduk",2009,17,"Bionicle"
"8975-1","Berix",2009,15,"Bionicle"
"8976-1","Metus",2009,14,"Bionicle"
"8977-1","Zesk",2009,16,"Bionicle"
"8978-1","Skrall",2009,50,"Bionicle"
"8979-1","Malum",2009,59,"Bionicle"
"8980-1","Gresh",2009,55,"Bionicle"
"8981-1","Tarix",2009,57,"Bionicle"
"8982-1","Strakk",2009,46,"Bionicle"
"8983-1","Vorox",2009,51,"Bionicle"
"8984-1","Stronius",2009,55,"Bionicle"
"8985-1","Ackar",2009,55,"Bionicle"
"8986-1","Vastus",2009,52,"Bionicle"
"8987-1","Kiina",2009,43,"Bionicle"
